IsolateID1	IsolateID2	PTS_score	label
S8MRS0910-WB1.MID61.P7.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0506329113924051	1uL
S8MRS0928-WB1.MID65.P7.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0217391304347826	1uL
S8MRS0936-WB1.MID65.P8.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.016	1uL
S8MRS0938-WB1.MID61.P9.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
S8MRS0948-WB1.MID61.P10.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0192307692307692	1uL
S8MRS0980-WB1.MID73.P2.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0111731843575419	1uL
S8MRS2144-WB1-R1.MID69.P5.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
S8MRS2155-WB1.MID69.P8.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
S8MRS2160-WB1.MID73.P8.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.031496062992126	1uL
S8MRS2267-WB1-R1.MID77.P8.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0138888888888889	1uL
S8MRS2276-WB1.MID77.P9.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0180995475113122	1uL
S8MRS2444-WB1.MID85.P1.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
S8MRS2446-WB1.MID89.P1.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
S8MRS2458-WB1.MID85.P3.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0156862745098039	1uL
S8MRS2473-WB1.MID89.P4.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0134003350083752	1uL
S8MRS2489-WB1.MID89.P6.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.00638977635782748	1uL
S8MRS2491-WB1.MID85.P7.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0105820105820106	1uL
S8MRS2517-WB1.MID89.P9.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0182370820668693	1uL
S8MRS2530-WB1.MID93.P2.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0153846153846154	1uL
S8MRS2533-WB1.MID97.P2.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0117647058823529	1uL
S8MRS0065-WB1.MID1.P7.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0444444444444444	1uL
S8MRS0074-WB1-R1.MID1.P8.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0218181818181818	1uL
S8MRS0089-WB1.MID5.P9.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0215827338129496	1uL
S8MRS0128-WB1-R1.MID1.P10.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0208333333333333	1uL
S8MRS0187-WB1.MID15.P2.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.018348623853211	1uL
S8MRS0190-WB1-R1.MID10.P3.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0165289256198347	1uL
S8MRS0228-WB1.MID10.P7.nov22	S8MRS0063-WB1.MID1.P6.nov22	0	1uL
S8MRS0256-WB1.MID10.P9.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0344827586206897	1uL
S8MRS0257-WB1.MID15.P9.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0235294117647059	1uL
S8MRS0273-WB1.MID20.P3.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0498442367601246	1uL
S8MRS0307-WB1.MID24.P7.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.019047619047619	1uL
S8MRS0370-WB1.MID28.P1.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0449438202247191	1uL
S8MRS0515-WB1.MID36.P2.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0165289256198347	1uL
S8MRS0527-WB1.MID36.P4.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0202020202020202	1uL
S8MRS0532-WB1.MID40.P4.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0266666666666667	1uL
S8MRS0569-WB1.MID36.P7.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0388349514563107	1uL
S8MRS0572-WB1.MID36.P8.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0594059405940594	1uL
S8MRS0581-WB1-R1.MID36.P9.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0161290322580645	1uL
S8MRS0586-WB1.MID36.P10.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0353982300884956	1uL
S8MRS0633-WB1.MID48.P4.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0186915887850467	1uL
S8MRS0636-WB1.MID48.P5.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0172413793103448	1uL
S8MRS0655-WB1.MID48.P8.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.00604229607250755	1uL
S8MRS0659-WB1.MID44.P10.nov22	S8MRS0063-WB1.MID1.P6.nov22	0	1uL
S8MRS0660-WB1.MID48.P10.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0129032258064516	1uL
S8MRS0671-WB1.MID57.P1.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0233918128654971	1uL
S8MRS0686-WB1.MID57.P3.nov22	S8MRS0063-WB1.MID1.P6.nov22	0	1uL
S8MRS0690-WB1-R1.MID53.P4.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.018348623853211	1uL
S8MRS0735-WB1.MID57.P6.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.027027027027027	1uL
S8MRS0850-WB1.MID61.P1.nov22	S8MRS0063-WB1.MID1.P6.nov22	0	1uL
S8MRS0867-WB1-R1.MID61.P2.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0173913043478261	1uL
S8MRS0886-WB1-R1.MID61.P4.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.028169014084507	1uL
S8MRS0901-WB1.MID65.P5.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0481927710843374	1uL
S8MRS0904-WB1-R1.MID61.P6.nov22	S8MRS0063-WB1.MID1.P6.nov22	0	1uL
S8MRS0910-WB1.MID61.P7.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0242424242424242	1uL
S8MRS0928-WB1.MID65.P7.nov22	S8MRS0063-WB1.MID1.P6.nov22	0	1uL
S8MRS0936-WB1.MID65.P8.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0151515151515152	1uL
S8MRS0938-WB1.MID61.P9.nov22	S8MRS0063-WB1.MID1.P6.nov22	0	1uL
S8MRS0948-WB1.MID61.P10.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.018018018018018	1uL
S8MRS0980-WB1.MID73.P2.nov22	S8MRS0063-WB1.MID1.P6.nov22	0	1uL
S8MRS2144-WB1-R1.MID69.P5.nov22	S8MRS0063-WB1.MID1.P6.nov22	0	1uL
S8MRS2155-WB1.MID69.P8.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.018018018018018	1uL
S8MRS2160-WB1.MID73.P8.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0149253731343284	1uL
S8MRS2267-WB1-R1.MID77.P8.nov22	S8MRS0063-WB1.MID1.P6.nov22	0	1uL
S8MRS2276-WB1.MID77.P9.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0175438596491228	1uL
S8MRS2444-WB1.MID85.P1.nov22	S8MRS0063-WB1.MID1.P6.nov22	0	1uL
S8MRS2446-WB1.MID89.P1.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.018018018018018	1uL
S8MRS2458-WB1.MID85.P3.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0152671755725191	1uL
S8MRS2473-WB1.MID89.P4.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0298013245033113	1uL
S8MRS2489-WB1.MID89.P6.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0125	1uL
S8MRS2491-WB1.MID85.P7.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0102040816326531	1uL
S8MRS2517-WB1.MID89.P9.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0238095238095238	1uL
S8MRS2530-WB1.MID93.P2.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0145985401459854	1uL
S8MRS2533-WB1.MID97.P2.nov22	S8MRS0063-WB1.MID1.P6.nov22	0.0112994350282486	1uL
S8MRS0074-WB1-R1.MID1.P8.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0226415094339623	1uL
S8MRS0089-WB1.MID5.P9.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0149253731343284	1uL
S8MRS0128-WB1-R1.MID1.P10.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0187-WB1.MID15.P2.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0202020202020202	1uL
